學年度,年級,學期,課次,課名,生字數,語詞數,認讀字數,生字,認讀字,語詞,TextNameId,來源網址
114,三年級,下學期,第9課,第九課：臺灣的山椒魚,14,11,4,灣、冰、爬、陸、肺、膚、黏、液、保、持、敵、縫、伐、球,椒、鰓、隙、卵,臺灣、冰河、陸地、皮膚、黏液、保持、敵人、縫隙、產卵、砍伐、地球,0103031140209,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140209
114,三年級,下學期,第10課,第十課：漁夫和金魚,14,10,4,漁、夫、婦、拖、求、恩、報、盆、值、寬、暴、聊、隆、破,藻、濤、僕、轟,漁夫、夫婦、水藻、恩情、回報、波濤、風暴、僕人、無聊、轟隆,0103031140210,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140210
114,三年級,下學期,第11課,第十一課：聰明的鼠鹿,14,9,2,鹿、幕、虎、布、夠、損、威、餐、填、理、胃、撲、槍、逃,獵、砰,老虎、布幕、不夠、威風、晚餐、道理、獵人、胃口、逃跑,0103031140211,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140211
114,三年級,下學期,第12課,第十二課：還要跌幾次,14,10,1,跌、陡、民、措、編、謠、提、伯、萬、糟、糕、唉、救、毫,跤,村民、驚慌失措、歌謠、提醒、老伯、跌跤、千萬、糟糕、唉聲嘆氣、毫無,0103031140212,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140212
114,四年級,上學期,第1課,第一課：水陸小高手,15,10,0,泳、串、般、姿、溜、耳、鷹、滑、遨、緩、陀、螺、轉、躍、煩,,游泳、一般、多采多姿、滑行、遨遊、緩緩、陀螺、轉身、水陸、煩惱,0103041140101,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140101
114,四年級,上學期,第2課,第二課：放學後,15,11,0,招、湯、拋、糧、姐、爭、警、偷、則、繩、依、捨、束、暫、幸,,招招手、食糧、姐姐、爭吵、警察、小偷、跳繩、依依不捨、結束、暫停、幸福,0103041140102,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140102
114,四年級,上學期,第3課,第三課：我的籃球夢,15,10,0,社、邀、與、遙、投、熟、巧、彈、曾、揮、彼、秒、喧、優、弧,,邀約、遙不可及、熟能生巧、反彈、不曾、指揮、此起彼落、喧鬧、優美、弧線,0103041140103,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140103
114,四年級,上學期,第4課,第四課：永遠的馬偕,15,13,0,偕、醫、命、奉、獻、療、衛、藥、治、翻、嶺、捐、宿、堂、濃,,馬偕、醫院、生命、奉獻、醫療、衛生、藥品、治病、翻山越嶺、捐錢、食宿、學堂、濃濃,0103041140104,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140104
114,四年級,上學期,第5課,第五課：假如給我三天光明,15,13,0,凱、勒、業、勵、寧、視、注、憑、蓓、蕾、何、毯、適、繽、盡,,海倫‧凱勒、學業、勵志、寧靜、視力、注意、單憑、蓓蕾、任何、地毯、舒適、五彩繽紛、盡力,0103041140105,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140105
114,四年級,上學期,第6課,第六課：攀登生命的高峰,15,7,0,秀、稱、朗、登、穆、瑪、峰、母、酷、磨、攀、氧、訓、谷、響,,開朗、母親、冷酷、磨練、攀登、訓練、谷底,0103041140106,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140106
114,四年級,上學期,第7課,第七課：美味的一堂課,15,10,0,薄、烙、沾、咖、哩、印、甩、材、醬、義、麵、郁、壽、醋、未,,咖哩、印度、甩餅、食材、醬料、義大利、麵條、濃郁、壽司、未知,0103041140107,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140107
114,四年級,上學期,第8課,第八課：建築界的長頸鹿,15,9,0,臨、樓、頸、代、濟、阻、尼、器、震、京、晴、塔、訊、吉、橋,,居高臨下、大樓、長頸鹿、代表、經濟、地震、通訊、吉隆坡、連通橋,0103041140108,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140108
114,四年級,上學期,第9課,第九課：請到我的家鄉來,15,12,0,佛、泰、廟、華、尚、逛、埃、羅、勢、窪、堤、防、潮、鬱、划,,泰國、華麗、和尚、逛逛、埃及、尼羅河、地勢、低窪、築堤、防潮、鬱金香、划船,0103041140109,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140109
114,四年級,上學期,第10課,第十課：奇幻旋律,15,9,0,幻、旋、扁、瞬、驗、牙、芝、盜、邁、困、龐、搓、榮、富、遍,,奇幻、旋律、一瞬間、體驗、芝麻、大盜、邁開、臉龐、榮華富貴,0103041140110,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140110
114,四年級,上學期,第11課,第十一課：兔子先生等等我,15,11,0,背、錶、掉、深、鎖、鑰、匙、汁、示、迫、袋、哭、盒、扇、遲,,背心、懷錶、上鎖、鑰匙、果汁、標示、迫不及待、口袋、盒子、扇子、遲到,0103041140111,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140111
114,四年級,上學期,第12課,第十二課：老鞋匠和小精靈,15,12,0,妻、耐、革、賣、倍、謎、鐘、敲、靈、鎚、嘖、足、蹈、蹦、內,,妻子、耐心、皮革、雙倍、謎團、鐘聲、小精靈、鐵鎚、嘖嘖稱奇、手舞足蹈、蹦蹦跳跳、內心,0103041140112,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140112
114,四年級,下學期,第1課,第一課：一束鮮花,15,10,0,潔、環、境、甚、至、懶、梳、髒、臭、雜、調、叢、暢、格、言,,潔白、環境、甚至、懶散、雜亂、調和、雜草叢生、舒暢、格格不入、自言自語,0103041140201,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140201
114,四年級,下學期,第2課,第二課：心動不如行動,15,9,0,川、缺、窮、繼、研、既、租、備、缽、緣、達、慚、愧、慮、絆,,窮困、三餐不繼、研讀、準備、化緣、到達、慚愧、顧慮、絆腳石,0103041140202,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140202
114,四年級,下學期,第3課,第三課：選拔動物之星,15,11,0,啟、宣、選、勤、健、厲、蝸、寸、駱、駝、皺、眉、艘、艇、拭,,啟事、宣傳、選拔、勤奮、剛健、厲害、蝸牛、駱駝、眉頭、遊艇、拭目以待,0103041140203,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140203
114,四年級,下學期,第4課,第四課：米食飄香,15,8,0,稻、米、粒、蘿、蔔、漿、蒸、鹹、財、粿、艾、康、粽、推、陳,,稻米、蘿蔔糕、米漿、發財、艾草、健康、粽子、推陳出新,0103041140204,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140204
114,四年級,下學期,第5課,第五課：讀書報告-藍色小洋裝,15,10,0,籍、繪、版、介、峽、玉、泣、敏、癢、麥、封、淺、查、酵、讚,,書籍、出版、簡介、哭泣、過敏、發癢、麥芽糖、封面、發酵、讚嘆,0103041140205,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140205
114,四年級,下學期,第6課,第六課：我愛鹿港,15,9,0,插、拌、磚、昂、繁、葫、蘆、彎、狹、窄、喻、曉、井、芬、芳,,穿插、紅磚、昂貴、繁榮、葫蘆、彎彎曲曲、狹窄、家喻戶曉、芬芳,0103041140206,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140206
114,四年級,下學期,第7課,第七課：未來的模樣,15,11,0,跡、移、搭、輸、鍵、盤、饑、荒、配、均、遷、致、惡、攜、眨,,足跡、移動、傳輸、鍵盤、饑荒、分配、平均、變遷、導致、惡化、攜手,0103041140207,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140207
114,四年級,下學期,第8課,第八課：動物老師的智慧,15,11,0,眾、領、獨、厚、蹼、趾、膜、構、潛、易、壁、舉、究、肢、絕,,與眾不同、看家本領、得天獨厚、腳趾、構造、輕易、壁虎、輕而易舉、研究、肢體、身懷絕技,0103041140208,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140208
114,四年級,下學期,第9課,第九課：向太空出發,15,10,0,僅、號、姆、斯、仍、津、嘗、試、測、署、億、翁、嚮、引、催,,不僅、阿姆斯壯、津津樂道、嘗試、探測、太空總署、大富翁、嚮往、吸引、催生,0103041140209,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140209
114,四年級,下學期,第10課,第十課：小青蛙想看海,15,11,0,豪、忽、瞧、灘、苔、滾、禁、際、廣、丈、災、旱、耗、遺、憾,,自豪、忽然、打滾、禁不住、一望無際、寬廣、萬丈、水災、旱災、耗盡、遺憾,0103041140210,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140210
114,四年級,下學期,第11課,第十一課：窗前的月光,15,10,0,皎、瘦、嫦、娥、搗、吳、霜、映、勾、浮、盞、否、舊、淚、孤,,皎潔、嫦娥、吳剛、冰霜、映照、浮現、是否、依舊、淚水、孤單,0103041140211,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140211
114,四年級,下學期,第12課,第十二課：如來佛的手掌心,15,10,0,乖、筋、斗、箍、喚、掀、修、咒、橘、擋、掏、齊、聖、砰、壓,,乖乖、筋斗雲、金箍棒、呼風喚雨、掀翻、修行、咒語、掏出、齊天大聖、壓住,0103041140212,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103041140212
114,五年級,上學期,第1課,第一課：蚊帳大使,18,10,0,蚊、帳、洲、瘧、疾、死、叮、存、募、集、寄、贈、獎、狀、藏、誌、基、赴,,蚊帳、非洲、瘧疾、募集、捐贈、獎狀、收藏、雜誌、基金會、全力以赴,0103051140101,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140101
114,五年級,上學期,第2課,第二課：從空中看臺灣,18,16,0,德、乎、血、攝、颱、錄、哀、巒、縱、臍、禍、殘、檳、榔、降、鏟、汙、斷,,德國、似乎、血液、拍攝、颱風、記錄、哀愁、山巒、縱谷、臍帶、人禍、殘破、檳榔、降低、汙水、不斷,0103051140102,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140102
114,五年級,上學期,第3課,第三課：攀岩高手,18,15,0,峭、勁、聳、飢、隱、扯、銳、箭、韌、虯、鬚、茂、止、蔓、藉、豐、挫、折,,陡峭、強勁、高聳、充飢、隱形、尖銳、冷箭、堅韌、虯鬚、繁茂、休止、蔓生、藉由、豐富、挫折,0103051140103,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140103
114,五年級,上學期,第4課,第四課：恆久的美,19,14,0,恆、澄、穗、養、源、藝、樸、堆、撿、巾、痠、素、尊、嚴、勞、怨、慷、慨、滋,,恆久、黃澄澄、稻穗、養活、來源、藝術家、樸實、撿拾、頭巾、樸素、尊嚴、任勞任怨、慷慨、滋潤,0103051140104,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140104
114,五年級,上學期,第5課,第五課：它抓得住你—商標的故事,18,14,0,譽、務、聯、核、申、局、松、註、冊、企、毅、歷、英、銷、售、勝、霸、項,,商譽、服務、關聯、核准、申請、黑松、註冊、企業、堅毅不拔、歷經、英文、銷售、霸主、項目,0103051140105,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140105
114,五年級,上學期,第6課,第六課：故事「動」起來,20,19,0,娛、汽、哨、典、框、劇、父、責、判、鳴、穎、獲、佳、膩、效、隊、益、貌、官、增,,娛樂、汽船、口哨、經典、框架、劇情、父母、負責、判斷力、共鳴、脫穎而出、榮獲、細膩、效果、團隊、精益求精、樣貌、感官、增加,0103051140106,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140106
114,五年級,上學期,第7課,第七課：為生命找到出口,19,12,0,逆、穩、憐、競、抗、逸、鄰、脈、絡、緻、弱、噴、嚏、織、碌、盎、膽、圈、疲,,逆風、可憐、物競天擇、好逸惡勞、鄰居、脈絡、精緻、脆弱、噴嚏、忙碌、興味盎然、精疲力盡,0103051140107,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140107
114,五年級,上學期,第8課,第八課：最勇敢的女孩,18,14,0,坦、性、恐、怖、組、占、播、控、制、傷、攻、擊、權、脅、復、武、撼、懼,,巴基斯坦、女性、恐怖、組織、霸占、廣播、控制、受傷、攻擊、威脅、康復、武器、震撼、恐懼,0103051140108,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140108
114,五年級,上學期,第9課,第九課：在挫折中成長,19,16,0,維、戰、崎、嶇、拳、癌、症、銅、牌、屢、減、予、幼、椰、即、腐、衝、鍛、鍊,,維持、奮戰、崎嶇、拳擊、癌症、銅牌、屢屢、減少、給予、幼芽、椰子、即使、腐爛、衝擊、鍛造、鍛鍊,0103051140109,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140109
114,五年級,上學期,第10課,第十課：山中寄情,19,13,0,唐、恬、罷、暮、掩、柴、扉、歸、畢、陋、傍、確、閒、詠、幽、眠、職、吟、曠,,唐朝、恬淡、日暮、柴扉、完畢、簡陋、傍晚、確定、閒適、幽人、官職、吟唱、空曠,0103051140110,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140110
114,五年級,上學期,第11課,第十一課：與達駭黑熊走入山林,19,13,0,駭、疤、痕、罐、咚、碰、傾、寮、營、殺、崇、置、奄、翼、祈、禱、吼、喉、嚨,,疤痕、鐵罐、咚咚、碰運氣、傾盆、營火、崇拜、棄置、奄奄一息、小心翼翼、祈禱、吼聲、喉嚨,0103051140111,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140111
114,五年級,上學期,第12課,第十二課：荒島上的國王,19,13,0,烈、暈、昏、艙、途、捲、喪、獸、渾、擱、礁、筏、塌、捏、燒、臼、烤、爐、欲,,劇烈、暈船、黃昏、船艙、途中、野獸、渾身、擱淺、礁岩、木筏、倒塌、烤爐、躍躍欲試,0103051140112,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140112
114,五年級,下學期,第1課,第一課：你會怎麼回答,19,16,0,簽、遞、傻、瓜、若、續、痺、患、握、艱、博、聆、埋、稿、雷、擔、談、懸、符,,簽名、傻瓜、神態自若、繼續、腦性麻痺、患者、艱辛、博士、聆聽、埋怨、寫稿、如雷、擔任、高談闊論、口若懸河、標點符號,0103051140201,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140201
114,五年級,下學期,第2課,第二課：智救養馬人,18,12,0,匹、怒、廷、妥、諫、閉、覷、犯、罪、仁、政、斥、蒙、羞、懂、委、婉、勸,,怒氣、朝廷、不妥、進諫、緊閉、面面相覷、仁政、喝斥、蒙羞、不懂、委婉、勸諫,0103051140202,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140202
114,五年級,下學期,第3課,第三課：真正的「聰明」,17,13,0,輛、姍、抵、迅、返、率、梭、隼、較、贏、逐、遭、評、普、價、承、搏,,姍姍來遲、抵達、迅速、折返、率先、穿梭、較量、競逐、遭遇、評斷、普通人、價值、承認,0103051140203,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140203
114,五年級,下學期,第4課,第四課：小記者，出動！,19,16,0,診、繃、緒、疫、篩、偉、雄、補、驟、菊、罩、塵、槌、餘、撥、廓、拼、湊、骨,,急診、緊繃、情緒、疫情、偉大、英雄、修補、步驟、菊石、防塵、槌子、多餘、撥開、輪廓、拼湊、骨架,0103051140204,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140204
114,五年級,下學期,第5課,第五課：奇幻光芒的祕密,19,14,0,盈、浸、稀、儲、寵、寂、螢、仿、彿、悉、賦、龍、冠、鳳、紋、飾、閱、激、湧,,輕盈、沉浸、稀奇古怪、儲藏、寵物、寂靜、螢幕、彷彿、熟悉、賦予、龍冠鳳紋玉飾、閱讀、激發、湧現,0103051140205,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140205
114,五年級,下學期,第6課,第六課：人「聲」就是戲,19,14,0,份、睹、杯、奏、盯、燦、魔、嗓、啞、咳、促、喘、吁、伏、唷、須、憂、詮、魅,,先睹為快、節奏、燦爛、魔法、嗓音、沙啞、急促、氣喘吁吁、埋伏、唉唷、必須、忽喜忽憂、詮釋、魅力,0103051140206,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140206
114,五年級,下學期,第7課,第七課：題西林壁,15,10,0,淵、凡、擅、亦、橫、側、廬、江、寺、霧、瀰、延、含、哲、謂,,學問淵博、不凡、擅長、廬山、煙霧、瀰漫、綿延、隱含、哲理、所謂,0103051140207,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140207
114,五年級,下學期,第8課,第八課：海洋的殺手,19,16,0,珊、瑚、積、噸、垃、圾、循、菌、鉤、鏈、孔、倖、鯨、據、宜、估、廢、踐、殼,,珊瑚、面積、公噸、垃圾、循環、細菌、食物鏈、無孔不入、無一倖免、鯨魚、根據、便宜、估計、廢棄物、實踐、貝殼,0103051140208,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140208
114,五年級,下學期,第9課,第九課：你想做人魚嗎？,19,14,0,涵、葵、鯊、豚、抹、汐、譟、鏽、錨、牧、窺、筒、琉、璃、凸、襯、托、玻、玻,,海涵、海葵、鯊魚、海豚、抹香鯨、潮汐、鼓譟、牧場、氧氣筒、琉璃、凸顯、襯托、見證、玻璃,0103051140209,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140209
114,五年級,下學期,第10課,第十課：玉米人的奇蹟,18,15,0,蹟、蕩、吶、洪、誕、沼、澤、豹、栩、跺、葦、堪、洶、鵡、狼、雅、挑、剔,,奇蹟、空空蕩蕩、吶喊、洪水、誕生、沼澤、美洲豹、栩栩如生、蘆葦、難堪、波濤洶湧、鸚鵡、土狼、優雅、挑剔,0103051140210,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140210
114,五年級,下學期,第11課,第十一課：幸福的火苗,19,14,0,婪、嚎、群、抖、疼、魂、規、違、駕、屑、瀑、瀉、燃、噬、籠、焰、霆、俯、啄,,貪婪、發抖、心疼、靈魂、規定、違反、瀑布、流瀉、吞噬、籠罩、火焰、大發雷霆、俯衝、啄食,0103051140211,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140211
114,五年級,下學期,第12課,第十二課：神農嘗百草,17,12,0,穀、亡、授、臟、誤、眩、燥、咀、嗚、犧、牲、赭、鞭、檢、藤、摘、佑,,穀物、死亡、傳授、內臟、頭暈目眩、口乾舌燥、咀嚼、一命嗚呼、犧牲、檢驗、藤蔓、保佑,0103051140212,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103051140212
114,六年級,上學期,第1課,第一課：跑道,19,17,0,級、軸、奪、屈、偏、搬、恨、抑、拒、尷、尬、悔、拱、距、默、鬥、扭、猛、愣,,年級、壓軸、爭奪、委屈、偏心、搬運、怨恨、抑制、拒絕、尷尬、後悔、拱手讓人、距離、默默、鬥志、扭曲、猛然,0103061140101,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103061140101
114,六年級,上學期,第2課,第二課：朱子治家格言選,19,10,0,粥、縷、碗、綢、繆、毋、掘、纏、縛、瓦、缶、蔬、饈、腹、惠、勿、凡、預、悲,,綢繆、掘井、纏繞、束縛、瓦缶、珍饈、施惠、凡事、預留、樂極生悲,0103061140102,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103061140102
114,六年級,上學期,第3課,第三課：談遇見更好的自己,17,14,0,揭、卓、培、裁、瑣、仲、耕、賺、穎、惋、欠、驕、傲、昨、耘、隔、茁,,揭示、卓越、培養、總裁、瑣事、耕田、賺錢、聰穎、惋惜、欠缺、驕傲自滿、昨天、耕耘、茁壯,0103061140103,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103061140103
114,六年級,上學期,第4課,第四課：臺灣美食詩選,17,11,0,鼎、擠、颳、廚、淋、晒、覆、筍、醃、攪、炸、瑩、饗、宴、彰、煮、豬,,鼎邊趖、颳風、廚師、晒乾、包覆、竹筍、醃製、攪拌、油炸、晶瑩、饗宴,0103061140104,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103061140104
