日期,收盤價
2024-02-15,698
2024-02-16,685
2024-02-19,681
2024-02-20,682
2024-02-21,681
2024-02-22,692
2024-02-23,698
2024-02-26,700
2024-02-27,698
2024-02-29,696
2024-03-01,688
2024-03-04,723
2024-03-05,735
2024-03-06,737
2024-03-07,762
2024-03-08,784
2024-03-11,764
2024-03-12,770
2024-03-13,778
2024-03-14,778
2024-03-15,765
2024-03-18,764
2024-03-19,763
2024-03-20,754
2024-03-21,783
2024-03-22,782
2024-03-25,782
2024-03-26,786
2024-03-27,782
2024-03-28,769
2024-03-29,779
2024-04-01,769
2024-04-02,790
2024-04-03,784
2024-04-08,784
2024-04-09,819
2024-04-10,817
2024-04-11,818
2024-04-12,818
2024-04-15,809
2024-04-16,791
2024-04-17,804
2024-04-18,810
2024-04-19,752
2024-04-22,744
2024-04-23,757
2024-04-24,784
2024-04-25,767
2024-04-26,784
2024-04-29,792
2024-04-30,800
2024-05-02,775
2024-05-03,776
2024-05-06,789
2024-05-07,798
2024-05-08,798
2024-05-09,799
2024-05-10,807
2024-05-13,818
2024-05-14,824
2024-05-15,839
2024-05-16,839
2024-05-17,839
2024-05-20,834
2024-05-21,838
2024-05-22,863
2024-05-23,875
2024-05-24,868
2024-05-27,869
2024-05-28,872
2024-05-29,860
2024-05-30,841
2024-05-31,834
2024-06-03,850
2024-06-04,839
2024-06-05,853
2024-06-06,895
2024-06-07,880
2024-06-11,888
2024-06-12,912
2024-06-13,917
2024-06-14,919
2024-06-17,921
2024-06-18,943
2024-06-19,978
2024-06-20,979
2024-06-21,971
2024-06-24,942
2024-06-25,942
2024-06-26,960
2024-06-27,957
2024-06-28,967
2024-07-01,965
2024-07-02,963
2024-07-03,976
2024-07-04,1005
2024-07-05,1000
2024-07-08,1040
2024-07-09,1035
2024-07-10,1045
2024-07-11,1080
2024-07-12,1030
2024-07-15,1040
2024-07-16,1045
2024-07-17,1025
2024-07-18,1000
2024-07-19,972
2024-07-22,940
2024-07-23,972
2024-07-26,922
2024-07-29,942
2024-07-30,943
2024-07-31,936
2024-08-01,959
2024-08-02,904
2024-08-05,815
2024-08-06,875
2024-08-07,918
2024-08-08,897
2024-08-09,933
2024-08-12,937
2024-08-13,939
2024-08-14,949
2024-08-15,944
2024-08-16,967
2024-08-19,970
2024-08-20,969
2024-08-21,958
2024-08-22,950
2024-08-23,949
2024-08-26,945
2024-08-27,941
2024-08-28,963
2024-08-29,944
2024-08-30,947
2024-09-02,944
2024-09-03,941
2024-09-04,891
2024-09-05,903
2024-09-06,917
2024-09-09,900
2024-09-10,906
2024-09-11,905
2024-09-12,939
2024-09-13,944
2024-09-16,948
2024-09-18,937
2024-09-19,955
2024-09-20,972
2024-09-23,973
2024-09-24,983
2024-09-25,1000
2024-09-26,1010
2024-09-27,1000
2024-09-30,971
2024-10-01,974
2024-10-04,973
2024-10-07,1005
2024-10-08,1005
2024-10-09,1025
2024-10-11,1045
2024-10-14,1040
2024-10-15,1075
2024-10-16,1045
2024-10-17,1045
2024-10-18,1085
2024-10-21,1085
2024-10-22,1070
2024-10-23,1060
2024-10-24,1060
2024-10-25,1065
2024-10-28,1060
2024-10-29,1035
2024-10-30,1030
2024-11-01,1025
2024-11-04,1045
2024-11-05,1040
2024-11-06,1060
2024-11-07,1070
2024-11-08,1085
2024-11-11,1090
2024-11-12,1055
2024-11-13,1040
2024-11-14,1035
2024-11-15,1040
