日期,收盤價
2024-02-16,141.3000030517578
2024-02-19,141.0500030517578
2024-02-20,141.60000610351562
2024-02-21,141.3000030517578
2024-02-22,142.85000610351562
2024-02-23,143.8000030517578
2024-02-26,144
2024-02-27,143.39999389648438
2024-02-29,143.85000610351562
2024-03-01,143
2024-03-04,147
2024-03-05,148.35000610351562
2024-03-06,148.85000610351562
2024-03-07,152.35000610351562
2024-03-08,154.39999389648438
2024-03-11,152.89999389648438
2024-03-12,154.5500030517578
2024-03-13,155.3000030517578
2024-03-14,154.9499969482422
2024-03-15,153.8000030517578
2024-03-18,154.35000610351562
2024-03-19,154.25
2024-03-20,153.4499969482422
2024-03-21,157.5500030517578
2024-03-22,157.1999969482422
2024-03-25,157.5500030517578
2024-03-26,157.5500030517578
2024-03-27,157.6999969482422
2024-03-28,156.89999389648438
2024-03-29,158
2024-04-01,157.3000030517578
2024-04-02,159.60000610351562
2024-04-03,158.60000610351562
2024-04-08,159.3000030517578
2024-04-09,163.3000030517578
2024-04-10,163
2024-04-11,162.4499969482422
2024-04-12,162
2024-04-15,160.14999389648438
2024-04-16,155.75
2024-04-17,157.25
2024-04-18,158.60000610351562
2024-04-19,151
2024-04-22,150.39999389648438
2024-04-23,152
2024-04-24,156.35000610351562
2024-04-25,153.39999389648438
2024-04-26,156.10000610351562
2024-04-29,158.64999389648438
2024-04-30,158.9499969482422
2024-05-02,156.0500030517578
2024-05-03,156.75
2024-05-06,159.75
2024-05-07,160.25
2024-05-08,160.60000610351562
2024-05-09,160.6999969482422
2024-05-10,162
2024-05-13,163.35000610351562
2024-05-14,164.4499969482422
2024-05-15,166.5
2024-05-16,167.25
2024-05-17,167.25
2024-05-20,166.89999389648438
2024-05-21,166.89999389648438
2024-05-22,170
2024-05-23,171.1999969482422
2024-05-24,170.5500030517578
2024-05-27,172.60000610351562
2024-05-28,173.39999389648438
2024-05-29,171.0500030517578
2024-05-30,167.9499969482422
2024-05-31,166.8000030517578
2024-06-03,169.5
2024-06-04,166.9499969482422
2024-06-05,168.6999969482422
2024-06-06,174.3000030517578
2024-06-07,172.8000030517578
2024-06-11,173.39999389648438
2024-06-12,176.3000030517578
2024-06-13,179
2024-06-14,179.64999389648438
2024-06-17,179.8000030517578
2024-06-18,182.9499969482422
2024-06-19,187.9499969482422
2024-06-20,189.60000610351562
2024-06-21,188.5500030517578
2024-06-24,183.89999389648438
2024-06-25,183.60000610351562
2024-06-26,185.35000610351562
2024-06-27,185
2024-06-28,186.60000610351562
2024-07-01,186.5500030517578
2024-07-02,185.14999389648438
2024-07-03,187.5
2024-07-04,192.39999389648438
2024-07-05,191.8000030517578
2024-07-08,197.85000610351562
2024-07-09,197.64999389648438
2024-07-10,198.14999389648438
2024-07-11,202.0500030517578
2024-07-12,196.1999969482422
2024-07-15,196.75
2024-07-16,196.8000030517578
2024-07-17,193.85000610351562
2024-07-18,190.60000610351562
2024-07-19,186.5500030517578
2024-07-22,180.85000610351562
2024-07-23,185.6999969482422
2024-07-26,178.6999969482422
2024-07-29,180.60000610351562
2024-07-30,180.89999389648438
2024-07-31,180.6999969482422
2024-08-01,184
2024-08-02,175
2024-08-05,159.5500030517578
2024-08-06,166.5
2024-08-07,174
2024-08-08,170.60000610351562
2024-08-09,175.5500030517578
2024-08-12,177.64999389648438
2024-08-13,178.8000030517578
2024-08-14,180.8000030517578
2024-08-15,179.4499969482422
2024-08-16,183.5
2024-08-19,183.6999969482422
2024-08-20,183.75
2024-08-21,181.75
2024-08-22,180.89999389648438
2024-08-23,181
2024-08-26,181
2024-08-27,180.6999969482422
2024-08-28,182.5
2024-08-29,181.10000610351562
2024-08-30,181.5
2024-09-02,180.75
2024-09-03,180
2024-09-04,171.3000030517578
2024-09-05,171.8000030517578
2024-09-06,174.64999389648438
2024-09-09,172
2024-09-10,172.14999389648438
2024-09-11,171.85000610351562
2024-09-12,178
2024-09-13,178.5500030517578
2024-09-16,179.0500030517578
2024-09-18,176.85000610351562
2024-09-19,180.0500030517578
2024-09-20,182.85000610351562
2024-09-23,183.10000610351562
2024-09-24,184.9499969482422
2024-09-25,187.8000030517578
2024-09-26,189.25
2024-09-27,188.89999389648438
2024-09-30,183.9499969482422
2024-10-01,183.64999389648438
2024-10-04,183.5
2024-10-07,188
2024-10-08,187.1999969482422
2024-10-09,189.5
2024-10-11,192.14999389648438
