日期,收盤價
2024-02-01,36.3
2024-02-02,36.45
2024-02-05,36.45
2024-02-15,36.86
2024-02-16,37.07
2024-02-19,37.14
2024-02-20,37.39
2024-02-21,37.29
2024-02-22,37.65
2024-02-23,37.59
2024-02-26,37.68
2024-02-27,37.51
2024-02-29,37.7
2024-03-01,37.74
2024-03-04,38
2024-03-05,38.16
2024-03-06,38.53
2024-03-07,38.68
2024-03-08,38.45
2024-03-11,38.43
2024-03-12,38.99
2024-03-13,39.08
2024-03-14,38.72
2024-03-15,39.02
2024-03-18,39.36
2024-03-19,39.7
2024-03-20,39.63
2024-03-21,39.93
2024-03-22,39.8
2024-03-25,39.62
2024-03-26,39.24
2024-03-27,39.55
2024-03-28,39.74
2024-03-29,39.86
2024-04-01,39.59
2024-04-02,39.88
2024-04-03,39.75
2024-04-08,39.92
2024-04-09,39.99
2024-04-10,40.2
2024-04-11,40.09
2024-04-12,39.98
2024-04-15,39.62
2024-04-16,38.49
2024-04-17,38.94
2024-04-18,38.18
2024-04-19,37.27
2024-04-22,36.92
2024-04-23,37.12
2024-04-24,37.85
2024-04-25,37.51
2024-04-26,37.69
2024-04-29,38.34
2024-04-30,38.32
2024-05-02,38.35
2024-05-03,38.45
2024-05-06,38.88
2024-05-07,38.97
2024-05-08,39.02
2024-05-09,38.92
2024-05-10,39.04
2024-05-13,39.04
2024-05-14,39.26
2024-05-15,39.3
2024-05-16,39.6
2024-05-17,39.51
2024-05-20,39.66
2024-05-21,39.5
2024-05-22,40.04
2024-05-23,40.01
2024-05-24,40.1
2024-05-27,40.74
2024-05-28,40.81
2024-05-29,40.59
2024-05-30,40.03
2024-05-31,39.93
2024-06-03,40.32
2024-06-04,40.01
2024-06-05,39.86
2024-06-06,40.05
2024-06-07,40.01
2024-06-11,39.95
2024-06-12,39.97
2024-06-13,40.42
2024-06-14,40.55
2024-06-17,40.79
2024-06-18,40.96
2024-06-19,41.52
2024-06-20,41.95
2024-06-21,41.9
2024-06-24,41.41
2024-06-25,41.3
2024-06-26,41.2
2024-06-27,40.91
2024-06-28,41.12
2024-07-01,41.35
2024-07-02,41.1
2024-07-03,41.42
2024-07-04,41.88
2024-07-05,41.94
2024-07-08,42.14
2024-07-09,42.09
2024-07-10,42.34
2024-07-11,42.65
2024-07-12,42.39
2024-07-15,42.37
2024-07-16,41.3
2024-07-17,41
2024-07-18,40.4
2024-07-19,39.81
2024-07-22,39.04
2024-07-23,39.47
